frame,timestamp,inst_fps,avg_fps,num_tracks,track_ids
100,16:10:41,66.56,32.79,5,1;2;3;4;7
101,16:10:41,21.28,32.61,5,1;2;3;4;7
102,16:10:41,65.12,32.77,5,1;2;3;4;7
103,16:10:41,62.51,32.92,5,1;2;3;4;7
104,16:10:41,16.31,32.60,5,1;2;3;4;7
105,16:10:41,66.36,32.76,5,1;2;3;4;7
106,16:10:41,111.12,32.98,5,1;2;3;4;7
107,16:10:41,18.74,32.75,5,1;2;3;4;7
108,16:10:41,65.93,32.90,5,1;2;3;4;7
109,16:10:41,62.61,33.05,6,1;2;3;4;6;7
110,16:10:41,15.86,32.72,6,1;2;3;4;6;7
111,16:10:41,62.48,32.87,6,1;2;3;4;6;7
112,16:10:41,58.76,33.00,5,1;2;3;4;7
113,16:10:41,16.25,32.70,5,1;2;3;4;7
114,16:10:41,63.73,32.84,5,1;2;3;4;7
115,16:10:41,66.63,32.98,5,1;2;3;4;7
116,16:10:41,15.99,32.68,5,1;2;3;4;7
117,16:10:41,64.97,32.82,5,1;2;3;4;7
118,16:10:42,58.83,32.95,5,1;2;3;4;7
119,16:10:42,20.91,32.79,5,1;2;3;4;7
120,16:10:42,70.60,32.94,5,1;2;3;4;7
121,16:10:42,66.66,33.07,5,1;2;3;4;7
122,16:10:42,16.34,32.80,5,1;2;3;4;7
123,16:10:42,64.87,32.93,5,1;2;3;4;7
124,16:10:42,63.00,33.06,5,1;2;3;4;7
125,16:10:42,21.16,32.91,5,1;2;3;4;7
126,16:10:42,65.80,33.04,5,1;2;3;4;7
127,16:10:42,66.57,33.17,5,1;2;3;4;7
128,16:10:42,16.49,32.91,5,1;2;3;4;7
129,16:10:42,64.04,33.04,5,1;2;3;4;7
130,16:10:42,62.44,33.16,5,1;2;3;4;7
131,16:10:42,16.32,32.90,5,1;2;3;4;7
132,16:10:42,64.28,33.02,5,1;2;3;4;7
133,16:10:42,57.66,33.13,5,1;2;3;4;7
134,16:10:42,16.76,32.89,5,1;2;3;4;7
135,16:10:42,62.04,33.00,5,1;2;3;4;7
136,16:10:42,62.45,33.12,5,1;2;3;4;7
137,16:10:42,16.24,32.87,5,1;2;3;4;7
138,16:10:42,66.62,32.99,5,1;2;3;4;7
139,16:10:42,62.50,33.10,5,1;2;3;4;7
140,16:10:42,21.16,32.97,5,1;2;3;4;7
141,16:10:42,63.15,33.08,5,1;2;3;4;7
142,16:10:42,64.07,33.19,6,1;2;3;4;6;7
143,16:10:42,15.69,32.94,6,1;2;3;4;6;7
144,16:10:42,65.95,33.05,6,1;2;3;4;6;7
145,16:10:42,124.99,33.22,6,1;2;3;4;6;7
146,16:10:42,18.57,33.04,6,1;2;3;4;6;7
147,16:10:42,65.74,33.15,6,1;2;3;4;6;7
148,16:10:42,65.67,33.26,6,1;2;3;4;6;7
