frame,timestamp,inst_fps,avg_fps,num_tracks,track_ids
100,16:08:59,43.33,27.76,5,1;2;3;4;7
101,16:09:00,15.91,27.56,5,1;2;3;4;7
102,16:09:00,58.77,27.70,5,1;2;3;4;7
103,16:09:00,62.50,27.85,5,1;2;3;4;7
104,16:09:00,15.78,27.65,5,1;2;3;4;7
105,16:09:00,62.48,27.80,5,1;2;3;4;7
106,16:09:00,68.79,27.95,5,1;2;3;4;7
107,16:09:00,15.76,27.75,5,1;2;3;4;7
108,16:09:00,69.16,27.91,5,1;2;3;4;7
109,16:09:00,111.11,28.10,6,1;2;3;4;6;7
110,16:09:00,18.45,27.97,6,1;2;3;4;6;7
111,16:09:00,58.77,28.10,6,1;2;3;4;6;7
112,16:09:00,65.46,28.24,5,1;2;3;4;7
113,16:09:00,15.79,28.05,5,1;2;3;4;7
114,16:09:00,62.50,28.18,5,1;2;3;4;7
115,16:09:00,62.50,28.32,5,1;2;3;4;7
116,16:09:00,15.95,28.13,5,1;2;3;4;7
117,16:09:00,63.89,28.27,5,1;2;3;4;7
118,16:09:00,61.86,28.40,5,1;2;3;4;7
119,16:09:00,15.94,28.21,5,1;2;3;4;7
120,16:09:00,64.24,28.34,5,1;2;3;4;7
121,16:09:00,62.50,28.47,5,1;2;3;4;7
122,16:09:00,13.04,28.20,5,1;2;3;4;7
123,16:09:00,60.24,28.32,5,1;2;3;4;7
124,16:09:00,62.50,28.45,5,1;2;3;4;7
125,16:09:00,13.09,28.18,5,1;2;3;4;7
126,16:09:00,62.53,28.31,5,1;2;3;4;7
127,16:09:00,66.66,28.44,5,1;2;3;4;7
128,16:09:00,15.81,28.26,5,1;2;3;4;7
129,16:09:00,65.15,28.38,5,1;2;3;4;7
130,16:09:00,60.52,28.50,5,1;2;3;4;7
131,16:09:00,15.62,28.32,5,1;2;3;4;7
132,16:09:00,63.91,28.44,5,1;2;3;4;7
133,16:09:01,65.19,28.56,5,1;2;3;4;7
134,16:09:01,16.23,28.40,5,1;2;3;4;7
135,16:09:01,65.02,28.52,5,1;2;3;4;7
136,16:09:01,60.28,28.63,5,1;2;3;4;7
137,16:09:01,16.60,28.48,5,1;2;3;4;7
138,16:09:01,62.42,28.59,5,1;2;3;4;7
139,16:09:01,68.22,28.71,5,1;2;3;4;7
140,16:09:01,15.85,28.55,5,1;2;3;4;7
141,16:09:01,58.66,28.65,5,1;2;3;4;7
142,16:09:01,64.93,28.77,6,1;2;3;4;6;7
143,16:09:01,16.02,28.61,6,1;2;3;4;6;7
144,16:09:01,61.35,28.71,6,1;2;3;4;6;7
145,16:09:01,64.13,28.82,6,1;2;3;4;6;7
146,16:09:01,15.85,28.66,6,1;2;3;4;6;7
147,16:09:01,72.97,28.78,6,1;2;3;4;6;7
148,16:09:01,60.28,28.88,6,1;2;3;4;6;7
149,16:09:01,15.62,28.72,6,1;2;3;4;6;7
150,16:09:01,65.30,28.83,6,1;2;3;4;6;7
151,16:09:01,111.01,28.97,6,1;2;3;4;6;7
152,16:09:01,19.23,28.87,6,1;2;3;4;6;7
153,16:09:01,62.50,28.97,6,1;2;3;4;6;7
154,16:09:01,62.60,29.08,6,1;2;3;4;6;7
155,16:09:01,16.60,28.94,6,1;2;3;4;6;7
156,16:09:01,62.35,29.04,6,1;2;3;4;6;7
157,16:09:01,66.60,29.14,6,1;2;3;4;6;7
158,16:09:01,5.49,28.37,6,1;2;3;4;6;7
159,16:09:01,55.56,28.45,6,1;2;3;4;6;7
160,16:09:01,43.49,28.52,6,1;2;3;4;6;7
161,16:09:02,15.67,28.37,6,1;2;3;4;6;7
162,16:09:02,71.42,28.48,6,1;2;3;4;6;7
163,16:09:02,66.67,28.58,6,1;2;3;4;6;7
164,16:09:02,15.86,28.44,6,1;2;3;4;6;7
165,16:09:02,65.69,28.54,6,1;2;3;4;6;7
166,16:09:02,62.12,28.63,6,1;2;3;4;6;7
167,16:09:02,15.65,28.49,6,1;2;3;4;6;7
168,16:09:02,62.36,28.58,6,1;2;3;4;6;7
169,16:09:02,66.57,28.68,6,1;2;3;4;6;7
170,16:09:02,15.86,28.54,6,1;2;3;4;6;7
171,16:09:02,62.50,28.63,6,1;2;3;4;6;7
172,16:09:02,62.50,28.72,6,1;2;3;4;6;7
173,16:09:02,15.84,28.59,6,1;2;3;4;6;7
174,16:09:02,62.50,28.68,6,1;2;3;4;6;7
175,16:09:02,63.98,28.77,6,1;2;3;4;6;7
176,16:09:02,15.87,28.64,6,1;2;3;4;6;7
177,16:09:02,66.67,28.73,6,1;2;3;4;6;7
178,16:09:02,66.64,28.82,6,1;2;3;4;6;7
179,16:09:02,16.16,28.70,6,1;2;3;4;6;7
180,16:09:02,142.87,28.82,6,1;2;3;4;6;7
181,16:09:02,42.09,28.87,6,1;2;3;4;6;7
182,16:09:02,15.64,28.74,6,1;2;3;4;6;7
183,16:09:02,66.67,28.83,6,1;2;3;4;6;7
184,16:09:02,66.67,28.92,6,1;2;3;4;6;7
185,16:09:02,16.67,28.81,6,1;2;3;4;6;7
186,16:09:02,64.16,28.89,6,1;2;3;4;6;7
187,16:09:02,125.00,29.01,6,1;2;3;4;6;7
188,16:09:02,13.87,28.84,6,1;2;3;4;6;7
189,16:09:02,62.50,28.93,6,1;2;3;4;6;7
190,16:09:02,62.50,29.01,6,1;2;3;4;6;7
191,16:09:02,15.87,28.88,6,1;2;3;4;6;7
192,16:09:02,66.67,28.97,6,1;2;3;4;6;7
193,16:09:03,63.30,29.05,7,1;2;3;4;5;6;7
194,16:09:03,15.64,28.92,7,1;2;3;4;5;6;7
195,16:09:03,63.38,29.00,7,1;2;3;4;5;6;7
196,16:09:03,62.45,29.08,7,1;2;3;4;5;6;7
197,16:09:03,15.82,28.96,7,1;2;3;4;5;6;7
198,16:09:03,111.10,29.07,7,1;2;3;4;5;6;7
199,16:09:03,45.46,29.12,7,1;2;3;4;5;6;7
200,16:09:03,16.30,29.01,7,1;2;3;4;5;6;7
201,16:09:03,62.49,29.08,7,1;2;3;4;5;6;7
202,16:09:03,59.08,29.16,7,1;2;3;4;5;6;7
203,16:09:03,16.05,29.04,7,1;2;3;4;5;6;7
204,16:09:03,65.80,29.12,7,1;2;3;4;5;6;7
205,16:09:03,65.78,29.20,7,1;2;3;4;5;6;7
206,16:09:03,12.55,29.01,7,1;2;3;4;5;6;7
207,16:09:03,62.50,29.09,7,1;2;3;4;5;6;7
208,16:09:03,62.74,29.16,7,1;2;3;4;5;6;7
209,16:09:03,15.62,29.04,7,1;2;3;4;5;6;7
210,16:09:03,65.29,29.12,7,1;2;3;4;5;6;7
211,16:09:03,62.36,29.19,7,1;2;3;4;5;6;7
212,16:09:03,16.03,29.08,7,1;2;3;4;5;6;7
213,16:09:03,66.57,29.16,7,1;2;3;4;5;6;7
214,16:09:03,64.02,29.23,7,1;2;3;4;5;6;7
215,16:09:03,15.76,29.12,7,1;2;3;4;5;6;7
216,16:09:03,63.33,29.19,7,1;2;3;4;5;6;7
217,16:09:03,61.02,29.26,7,1;2;3;4;5;6;7
218,16:09:03,16.13,29.15,7,1;2;3;4;5;6;7
219,16:09:03,66.54,29.23,7,1;2;3;4;5;6;7
220,16:09:03,62.44,29.30,7,1;2;3;4;5;6;7
221,16:09:03,16.13,29.19,7,1;2;3;4;5;6;7
222,16:09:03,62.45,29.26,7,1;2;3;4;5;6;7
223,16:09:03,63.98,29.33,7,1;2;3;4;5;6;7
224,16:09:04,15.95,29.22,7,1;2;3;4;5;6;7
225,16:09:04,62.50,29.29,7,1;2;3;4;5;6;7
226,16:09:04,62.45,29.36,7,1;2;3;4;5;6;7
227,16:09:04,15.97,29.25,7,1;2;3;4;5;6;7
228,16:09:04,64.39,29.32,7,1;2;3;4;5;6;7
229,16:09:04,63.15,29.39,6,1;2;3;4;5;6
230,16:09:04,16.65,29.29,6,1;2;3;4;5;6
231,16:09:04,65.07,29.36,6,1;2;3;4;5;6
232,16:09:04,64.96,29.43,6,1;2;3;4;5;6
233,16:09:04,12.65,29.27,6,1;2;3;4;5;6
234,16:09:04,62.43,29.33,6,1;2;3;4;5;6
235,16:09:04,66.04,29.40,6,1;2;3;4;5;6
236,16:09:04,16.30,29.30,6,1;2;3;4;5;6
237,16:09:04,62.41,29.37,6,1;2;3;4;5;6
238,16:09:04,125.00,29.46,6,1;2;3;4;5;6
239,16:09:04,18.45,29.39,6,1;2;3;4;5;6
